id;login;cabinet;dmaj;recordstatus;ddebut;dfin
3186;aafrite;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
757;aahnou;garancieres;2016-08-25 08:18:13;0;2016-08-23;
512;aahnou;abondant;2015-09-01 14:35:46;0;2015-09-28;
756;aahnou;dreuxmesirard;2016-08-24 09:15:17;0;2016-08-23;
3144;aahnou;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3416;abailly;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
1093;abailly;rigney;2017-08-30 15:40:43;0;2017-08-30;
2509;abeille;biol;2018-01-18 13:56:35;0;2018-01-18;
3500;abeille;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2590;abeille;virieusurbourbre;2018-03-27 16:29:31;0;2018-03-27;
2945;abidault;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
75;abidault;villefranche;2015-04-30 18:52:34;0;2015-09-08;
2833;ablancher;merignacmontesquieu;2018-09-10 15:51:00;0;2018-09-10;
3592;ablancher;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
582;aboubekri;villeneuvelagarenne;2018-06-09 12:32:24;1;2015-10-06;2018-05-18
3178;aboubekri;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2983;abramaud;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
106;abramaud;besancon;2015-04-30 18:52:34;0;2014-09-20;
2826;abramaud;Chatillon;2018-09-04 15:31:15;0;2018-09-04;
973;abuchaca;eybens;2017-09-05 11:57:36;1;2017-03-29;2017-09-05
3089;abureau;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
117;abureau;plelan;2015-04-30 18:52:34;0;2015-03-13;
116;abureau;baulon;2015-04-30 18:52:34;0;2015-01-15;
2860;acantin;planguenoual;2018-09-27 18:06:47;0;2018-09-27;
2810;acantin;plancouet;2018-08-30 13:32:00;0;2018-08-30;
3363;acantin;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2532;acascarino;zTest;2018-02-02 16:05:51;0;2018-02-02;
3508;acascarino;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
629;acharbonnier;lesgonds;2016-02-16 14:49:45;0;2016-02-16;
2482;acharbonnier;gemozac;2018-01-10 16:42:09;1;2018-01-08;2018-01-10
2486;acharbonnier;tonnaycharentepoilus;2018-01-09 14:29:59;0;2018-01-09;
628;acharbonnier;medillan;2018-05-08 19:28:58;1;2016-02-16;2018-05-08
3201;acharbonnier;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
650;acharbonnier;pisany;2016-03-16 10:03:39;0;2016-03-16;
999;acharmasson;stjulienpeyrolas;2017-04-19 14:41:39;0;2017-04-19;
2697;acharmasson;bourgstandeol4;2018-06-19 11:19:07;0;2018-06-19;
998;acharmasson;pontstespritliberation;2017-04-19 14:40:45;0;2017-04-19;
2696;acharmasson;bourgstandeol30;2018-06-19 11:11:30;0;2018-06-19;
3373;acharmasson;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2698;acharmasson;saintmontanbauvache;2018-06-19 11:19:49;0;2018-06-19;
2757;acharmasson;pontstespritdoumergue;2018-08-27 15:54:58;0;2018-08-27;
2652;achipeaux;fresnesenwoevre;2018-05-16 18:02:46;0;2018-05-16;
3567;achipeaux;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3200;acodevelle;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
624;acodevelle;morangis;2016-02-10 14:07:23;0;2016-02-10;
3066;adebut;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
143;adebut;casteljaloux;2015-04-30 18:52:34;0;2015-02-09;
3301;adelavest;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
822;adelavest;clermont;2016-10-05 18:25:09;0;2016-10-05;
2634;adeliot;thaonlesvosges;2018-04-27 10:22:55;0;2018-04-27;
3553;adeliot;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2633;adeliot;lesforges;2018-04-27 10:19:40;0;2018-04-27;
992;ademiautte;agen;2017-04-19 12:22:33;0;2017-04-19;
994;ademiautte;brax;2017-04-19 12:27:29;0;2017-04-19;
3371;ademiautte;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
993;ademiautte;colayracstcyr;2017-04-19 12:24:09;0;2017-04-19;
3613;adesaintepreuve;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2806;adesaintepreuve;zTest;2018-08-30 09:34:02;0;2018-08-30;
3328;adimoli;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
891;adimoli;pontdain;2016-12-12 17:29:28;0;2016-12-12;
3072;adonnaint;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
160;adonnaint;magny;2015-04-30 18:52:34;0;2015-01-31;
2707;adrauge;salon;2018-07-02 11:58:58;0;2018-07-02;
2706;adrauge;lancon;2018-07-02 11:54:35;0;2018-07-02;
